agalinis paupercula var. borealis; agalinis purpurea parviflora,scrophulariaceae,AGAPAUB,native,7,-2,forb,annual,small-flower false foxglove; purple false foxglove
agalinis paupercula var. borealis; agalinis purpurea parviflora,scrophulariaceae,AGAPURP,native,7,-2,forb,annual,small-flower false foxglove; purple false foxglove
agalinis paupercula var. paupercula; ,scrophulariaceae,AGAPAUP,native,7,-2,forb,annual,small-flower false foxglove; purple false foxglove
agalinis purpurea,scrophulariaceae,AGAPUR,native,6,-1,forb,annual,purple false foxglove
agalinis skinneriana,scrophulariaceae,AGASKI,native,10,2,forb,annual,skinners false foxglove; pale false foxglove
agalinis tenuifolia,scrophulariaceae,AGATEN,native,7,-1,forb,annual,slender-leaf false foxglove; slender false foxglove
agastache nepetoides,lamiaceae,AGANEP,native,5,1,forb,perennial,yellow giant-hyssop; yellow giant hyssop
agastache scrophulariaefolia ; agastache scrophulariaefolia,lamiaceae,AGASCR,native,5,2,forb,perennial,purple giant hyssop
ageratina altissima; eupatorium rugosum,asteraceae,AGEALT,native,4,1,forb,perennial,white snakeroot
ageratina altissima; eupatorium rugosum,asteraceae,EUPRUG,native,4,1,forb,perennial,white snakeroot
agrimonia gryposepala,rosaceae,AGRGRY,native,2,1,forb,perennial,tall hairy grooveburr; tall agrimony
agrimonia parviflora,rosaceae,AGRPAR,native,7,-1,forb,perennial,harvestlice; swamp agrimony
agrimonia pubescens ; agrimonia pubescens,rosaceae,AGRPUB,native,5,2,forb,perennial,soft grooveburr; soft agrimony
agrimonia rostellata,rosaceae,AGRROS,native,10,1,forb,perennial,beaked grooveburr; beaked agrimony
agrimonia striata; ,rosaceae,AGRSTR,native,3,1,forb,perennial,woodland grooveburr; 
agropyron cristatum,poaceae,AGRCRI,non-native,0,2,grass,perennial,crested wheat grass
agropyron desertorum,poaceae,AGRDES,non-native,0,2,grass,perennial,wheat grass; russian wheat grass
agrostemma githago,caryophyllaceae,AGRGIT,non-native,0,2,forb,perennial,corn cockle
agrostis capillaris; agrostis tenuis,poaceae,AGRCAP,non-native,0,2,grass,perennial,rhode island bent
agrostis capillaris; agrostis tenuis,poaceae,AGRTEN,non-native,0,2,grass,perennial,rhode island bent
agrostis gigantea; agrostis alba,poaceae,AGRALB,non-native,0,-1,grass,perennial,black bent; redtop
agrostis gigantea; agrostis alba,poaceae,AGRGIG,non-native,0,-1,grass,perennial,black bent; redtop
agrostis hyemalis,poaceae,AGRHYE,native,1,0,grass,perennial,winter bent; tickle grass
agrostis perennans,poaceae,AGRPER,native,3,0,grass,perennial,upland bent; thin grass
agrostis scabra,poaceae,AGRSCA,native,5,0,grass,perennial,rough bent; fly-away grass
agrostis stolonifera; agrostis alba palustris,poaceae,AGRALBP,native,10,-1,grass,perennial,spreading bent; bent grass
agrostis stolonifera; agrostis alba palustris,poaceae,AGRSTO,native,10,-1,grass,perennial,spreading bent; bent grass
ailanthus altissima,simaroubaceae,AILALT,non-native,0,1,tree,perennial,tree-of-heaven; tree of heaven
aira caryophyllea,poaceae,AIRCAR,non-native,0,1,grass,annual,common silver-hair grass; hair grass
ajuga genevensis ; ajuga genevensis,lamiaceae,AJUGEN,non-native,0,2,forb,perennial,geneva bugleweed; geneva bugle
ajuga reptans,lamiaceae,AJUREP,non-native,0,2,forb,perennial,carpet bugleweed; carpet bugle
akebia quinata; ,lardizabalaceae,AKEQUI,non-native,0,2,vine,perennial,akebia; 
alcea rosea; althaea rosea,malvaceae,ALCROS,non-native,0,2,forb,perennial,hollyhock
alcea rosea; althaea rosea,malvaceae,ALTROS,non-native,0,2,forb,perennial,hollyhock
aletris farinosa,liliaceae,ALEFAR,native,10,0,forb,perennial,white colicroot; colic root
alisma subcordatum,alismataceae,ALISUB,native,4,-2,forb,perennial,american water-plantain; common water plantain
alisma triviale,alismataceae,ALITRI,native,4,-2,forb,perennial,northern water-plantain; large-flowered water plantain
alliaria petiolata,brassicaceae,ALLPET,non-native,0,0,forb,biennial,garlic-mustard; garlic mustard
allium burdickii ; allium tricoccum burdickii,liliaceae,ALLBUR,native,6,2,forb,perennial,burdicks leek
allium burdickii ; allium tricoccum burdickii,liliaceae,ALLTRIB,native,6,2,forb,perennial,burdicks leek
allium canadense,liliaceae,ALLCAN,native,2,1,forb,perennial,meadow garlic; wild onion
allium canadense var. canadense; allium canadense,liliaceae,ALLCANC,native,2,1,forb,perennial,meadow garlic; wild onion
allium canadense var. lavandulare; ,liliaceae,ALLCANL,native,2,1,forb,perennial,meadow garlic; 
allium cepa,liliaceae,ALLCEP,non-native,0,2,forb,perennial,onion
allium cernuum,liliaceae,ALLCER,native,7,1,forb,perennial,nodding onion; nodding wild onion
allium flstulosum; allium fistulosum,liliaceae,ALLFIS,non-native,0,2,forb,perennial,spring onion; welsh onion
allium mutabile,liliaceae,ALLMUT,non-native,0,2,forb,perennial,wild onion; glade onion
allium sativum,liliaceae,ALLSAT,non-native,0,2,forb,perennial,garlic
allium schoenoprasum,liliaceae,ALLSCH,non-native,0,0,forb,perennial,wild chives; chives
allium stellatum,liliaceae,ALLSTE,native,10,2,forb,perennial,cliff onion; prairie onion
allium tricoccum,liliaceae,ALLTRI,native,7,1,forb,perennial,ramp; wild leek
allium vineale,liliaceae,ALLVIN,non-native,0,1,forb,perennial,crow garlic; field garlic
alnus glutinosa,betulaceae,ALNGLU,non-native,0,-1,tree,perennial,european alder
alnus incana; alnus rugosa,betulaceae,ALNINC,native,8,-1,shrub,perennial,speckled alder
alnus incana; alnus rugosa,betulaceae,ALNRUG,native,8,-1,shrub,perennial,speckled alder
alnus serrulata,betulaceae,ALNSER,native,10,-2,shrub,perennial,brookside alder; smooth alder
alopecurus aequalis,poaceae,ALOAEQ,native,6,-2,grass,perennial,short-awn meadow-foxtail; short-awned foxtail
alopecurus carolinianus,poaceae,ALOCAR,native,0,-1,grass,annual,tufted meadow-foxtail; annual foxtail
alopecurus geniculatus,poaceae,ALOGEN,non-native,0,-2,grass,perennial,marsh meadow-foxtail; marsh foxtail
alopecurus pratensis,poaceae,ALOPRA,non-native,0,-1,grass,perennial,field meadow-foxtail; meadow foxtail
althaea officinalis,malvaceae,ALTOFF,non-native,0,-1,forb,perennial,common marsh-mallow; marsh mallow
alyssum alyssoides ; alyssum alyssoides,amaranthaceae,ALYALY,non-native,0,2,forb,annual,pale alyssum
amaranthus albus,amaranthaceae,AMAALB,non-native,0,1,forb,annual,tumbleweed
amaranthus arenicola,amaranthaceae,AMAARE,non-native,0,1,forb,annual,sandhill amaranth
amaranthus blitoides; amaranthus graecizans,amaranthaceae,AMABLI,non-native,0,1,forb,annual,mat amaranth; creeping amaranth
amaranthus blitoides; amaranthus graecizans,amaranthaceae,AMAGRA,non-native,0,1,forb,annual,mat amaranth; creeping amaranth
amaranthus caudatus; ,amaranthaceae,AMACAU,non-native,0,2,forb,annual,love-lies-bleeding; 
amaranthus cruentus,amaranthaceae,AMACRU,non-native,0,2,forb,annual,purple amaranth
amaranthus hybridus,amaranthaceae,AMAHYB,native,0,2,forb,annual,green pigweed; green amaranth
amaranthus hypochondriacus; ,amaranthaceae,AMAHYP,non-native,0,2,forb,annual,princes feather; 
amaranthus palmeri,amaranthaceae,AMAPAL,non-native,0,1,forb,annual,careless weed
amaranthus powellii,amaranthaceae,AMAPOW,non-native,0,2,forb,annual,tall amaranth
amaranthus retroflexus,amaranthaceae,AMARET,non-native,0,1,forb,annual,red-root; rough amaranth
amaranthus rudis; acnida tamariscina,amaranthaceae,ACNTAM,non-native,0,2,forb,annual,water hemp; western water hemp
amaranthus rudis; acnida tamariscina,amaranthaceae,AMARUD,non-native,0,2,forb,annual,water hemp; western water hemp
amaranthus spinosus,amaranthaceae,AMASPI,non-native,0,1,forb,annual,spiny amaranth; thorny amaranth
amaranthus tuberculatus; acnida altissima,amaranthaceae,ACNALT,native,0,-2,forb,annual,rough-fruit amaranth; water hemp
amaranthus tuberculatus; acnida altissima,amaranthaceae,AMATUB,native,0,-2,forb,annual,rough-fruit amaranth; water hemp
amberboa moschata; centaurea moschata,asteraceae,AMBMOS,non-native,0,2,forb,annual,sweet sultan
amberboa moschata; centaurea moschata,asteraceae,CENMOS,non-native,0,2,forb,annual,sweet sultan
ambrosia artemisiifolia; ambrosia artemisiifolia elatior,asteraceae,AMBART,native,0,1,forb,annual,annual ragweed; common ragweed
ambrosia artemisiifolia; ambrosia artemisiifolia elatior,asteraceae,AMBARTE,native,0,1,forb,annual,annual ragweed; common ragweed
ambrosia psilostachya; ambrosia psilostachya coronopifolia,asteraceae,AMBPSI,non-native,0,1,forb,perennial,perennial ragweed; western ragweed
ambrosia tomentosa; franseria discolor,asteraceae,AMBTOM,non-native,0,2,forb,perennial,false ragweed
ambrosia tomentosa; franseria discolor,asteraceae,FRADIS,non-native,0,2,forb,perennial,false ragweed
ambrosia trifida,asteraceae,AMBTRI,native,0,0,forb,annual,great ragweed; giant ragweed
amelanchier arborea,rosaceae,AMEARB,native,8,1,tree,perennial,downy service-berry; serviceberry
amelanchier canadensis; ,rosaceae,AMECAN,native,8,1,tree,perennial,canadian service-berry; 
amelanchier humilis,rosaceae,AMEHUM,native,9,2,shrub,perennial,low service-berry; low shadblow
amelanchier interior,rosaceae,AMEINT,native,8,2,tree,perennial,inland service-berry; inland shadblow
amelanchier laevis,rosaceae,AMELAE,native,8,2,tree,perennial,allegheny service-berry; allegheny shadblow
amelanchier sanguinea ; amelanchier sanguinea,rosaceae,AMESAN,native,10,2,shrub,perennial,round-leaf service-berry; round-leaved serviceberry
ammannia robusta,lythraceae,AMMROB,native,4,-2,forb,annual,grand redstem; scarlet loosestrife
ammophila breviligulata,poaceae,AMMBRE,native,7,2,grass,perennial,beach grass; marram grass
amorpha canescens,fabaceae,AMOCAN,native,9,2,shrub,perennial, leadplant; lead plant
amorpha fruticosa,fabaceae,AMOFRU,native,6,-1,shrub,perennial,false indigo-bush; indigo bush
ampelamus albidus,asclepiadaceae,AMPALB,non-native,0,2,forb,perennial,bluevine; blue vine
ampelopsis brevipedunculata,vitaceae,AMPBRE,non-native,0,2,vine,perennial,turquoise-berry; turquoise berry
amphiachyris dracunculoides; gutierrezia dracunculoides,asteraceae,AMPDRA,non-native,0,2,forb,annual,prairie broomweed; broom snakeroot
amphiachyris dracunculoides; gutierrezia dracunculoides,asteraceae,GUTDRA,non-native,0,2,forb,annual,prairie broomweed; broom snakeroot
amphicarpaea bracteata,fabaceae,AMPBRA,native,4,0,vine,annual,american hog-peanut; upland hog peanut
amphicarpaea bracteata var. bracteata; amphicarpaea bracteata,fabaceae,AMPBRAB,native,4,0,vine,annual,american hog-peanut; upland hog peanut
amphicarpaea bracteata var. comosa; amphicarpaea bracteata comosa,fabaceae,AMPBRAC,native,4,0,vine,annual,american hog-peanut; lowland hog peanut
amsinckia menziesii,boraginaceae,AMSMEN,non-native,0,2,forb,annual,menzies fiddleneck; menzies fiddleneck
amsinckia spectabilis,boraginaceae,AMSSPE,non-native,0,1,forb,annual,woolly-breeches; fiddleneck
anagallis arvensis,primulaceae,ANAARV,non-native,0,2,forb,annual,scarlet pimpernel
anaphalis margaritacea ; anaphalis margaritacea,asteraceae,ANAMAR,non-native,0,2,forb,perennial,pearly everlasting
anchusa offlcinalis; anchusa officinalis,boraginaceae,ANCOFF,non-native,0,2,forb,perennial,common alkanet; alkanet
andromeda polifolia var. latifolia; andromeda glaucophylla,ericaceae,ANDGLA,native,10,-2,shrub,perennial,bog-rosemary; bog rosemary
andromeda polifolia var. latifolia; andromeda glaucophylla,ericaceae,ANDPOL,native,10,-2,shrub,perennial,bog-rosemary; bog rosemary
andropogon gerardii,poaceae,ANDGER,native,5,0,grass,perennial,big bluestem; big bluestem grass
andropogon hallii,poaceae,ANDHAL,non-native,0,2,grass,perennial,sand bluestem; sand bluestem grass
andropogon virginicus,poaceae,ANDVIR,non-native,0,1,grass,perennial,broom-sedge; broom sedge
androsace occidentalis,primulaceae,ANDOCC,native,8,1,forb,annual,western rock-jasmine; rock jasmine
anemone canadensis,ranunculaceae,ANECAN,native,4,-1,forb,perennial,round-leaf thimbleweed; meadow anemone
anemone caroliniana,ranunculaceae,ANECAR,native,10,2,forb,perennial,carolina anemone
anemone cylindrica,ranunculaceae,ANECYL,native,6,2,forb,perennial,thimbleweed
anemone patens var. multiflda; anemone patens wolfgangiana,ranunculaceae,ANEPAT,native,10,2,forb,perennial,pasque-flower; pasque flower
anemone quinquefolia,ranunculaceae,ANEQUI,native,7,0,forb,perennial,nightcaps; wood anemone
anemone quinquefolia var. bifolia; anemone quinquefolia,ranunculaceae,ANEQUIB,native,7,0,forb,perennial,nightcaps; wood anemone
anemone quinquefolia var. quinquefolia; anemone quinquefolia,ranunculaceae,ANEQUIQ,native,7,0,forb,perennial,nightcaps; wood anemone
anemone virginiana,ranunculaceae,ANEVIR,native,5,1,forb,perennial,tall thimbleweed; tall anemone
anethum graveolens,apiaceae,ANEGRA,non-native,0,2,forb,annual,dill
angelica atropurpurea,apiaceae,ANGATR,native,7,-2,forb,perennial,purple-stem angelica; great angelica
anoda cristata,malvaceae,ANOCRI,non-native,0,0,forb,annual,crested anoda
antennaria neglecta,asteraceae,ANTNEG,native,4,2,forb,perennial,cats-foot; cats foot
antennaria plantaginifolia,asteraceae,ANTPLA,native,3,2,forb,perennial,pussy-toes; pussy toes
anthemis arvensis var. agrestis; anthemis arvensis agrestis,asteraceae,ANTARV,non-native,0,2,forb,annual,corn chamomile
anthemis cotula,asteraceae,ANTCOT,non-native,0,1,forb,annual,stinking chamomile; dog fennel
anthoxanthum odoratum,poaceae,ANTODO,non-native,0,1,grass,perennial,large sweet vernal grass; sweet vernal grass
anthriscus caucalis,apiaceae,ANTCAU,non-native,0,2,forb,annual,chervil; bur chervil
anthriscus cerefolium,apiaceae,ANTCER,non-native,0,2,forb,annual,chervil
anthriscus sylvestris,apiaceae,ANTSYL,non-native,0,2,forb,biennial,chervil; wild chervil
anthyllis vulneraria,fabaceae,ANTVUL,non-native,0,2,forb,annual,ladys-finger; ladys fingers
anticlea elegans; zigadenus glaucus,liliaceae,ANTELE,native,10,0,forb,perennial,mountain false deathcamas; white camass
anticlea elegans; zigadenus glaucus,liliaceae,ZIGGLA,native,10,0,forb,perennial,mountain false deathcamas; white camass
antirrhinum majus,scrophulariaceae,ANTMAJ,non-native,0,2,forb,perennial,common snapdragon
antirrhinum orontium,scrophulariaceae,ANTORO,non-native,0,2,forb,annual,lesser snapdragon
apera interrupta,poaceae,APEINT,non-native,0,2,grass,annual,italian windgrass; little-awned grass
apios americana,fabaceae,APIAME,native,7,-1,forb,perennial,groundnut; ground nut
aplectrum hyemale,orchidaceae,APLHYE,native,10,0,forb,perennial,adam-and-eve; putty root
apocynum androsaemifolium,apocynaceae,APOAND,native,5,2,forb,perennial,spreading dogbane
apocynum androsaemifolium var. androsaemifolium; apocynum androsaemifolium,apocynaceae,APOANDA,native,5,2,forb,perennial,spreading dogbane
apocynum androsaemifolium var. incanum; ,apocynaceae,APOANDI,native,5,2,forb,perennial,spreading dogbane; 
apocynum cannabinum; apocynum sibiricum,apocynaceae,APOCAN,native,2,0,forb,perennial,indian-hemp; indian hemp
apocynum cannabinum; apocynum sibiricum,apocynaceae,APOSIB,native,2,0,forb,perennial,indian-hemp; indian hemp
apocynum x floribundum; apocynum x medium,apocynaceae,APOFLO,native,4,2,forb,perennial,; hybrid dogbane
apocynum x floribundum; apocynum x medium,apocynaceae,APOMED,native,4,2,forb,perennial,; hybrid dogbane
aquilegia canadensis,ranunculaceae,AQUCAN,native,6,1,forb,perennial,red columbine; wild columbine
aquilegia vulgaris,ranunculaceae,AQUVUL,non-native,0,2,forb,perennial,garden columbine
arabidopsis lyrata; arabis lyrata,brassicaceae,ARALYR,native,5,2,forb,biennial,sand cress
arabidopsis thaliana,brassicaceae,ARATHA,non-native,0,2,forb,annual,mouse-ear cress
arabis pycnocarpa ; arabis hirsuta,brassicaceae,ARAHIR,native,6,1,forb,biennial,hairy eared rockcress; hairy rock cress
arabis pycnocarpa ; arabis hirsuta,brassicaceae,ARAPYC,native,6,1,forb,biennial,hairy eared rockcress; hairy rock cress
arachis hypogaea; ,fabaceae,ARAHYP,non-native,0,2,forb,annual,peanut; 
aralia chinensis,araliaceae,ARACHI,non-native,0,2,shrub,perennial,chinese angelica tree
aralia elata,araliaceae,ARAELA,non-native,0,2,shrub,perennial,japanese angelica tree
aralia hispida,araliaceae,ARAHIS,native,10,2,forb,perennial,bristly sarsaparilla
aralia nudicaulis,araliaceae,ARANUD,native,8,1,shrub,perennial,wild sarsaparilla
aralia racemosa,araliaceae,ARARAC,native,10,1,forb,perennial,american spikenard; spikenard
arctium lappa,asteraceae,ARCLAP,non-native,0,2,forb,biennial,great burdock
arctium minus,asteraceae,ARCMIN,non-native,0,1,forb,biennial,lesser burrdock; common burdock
arctium tomentosum,asteraceae,ARCTOM,non-native,0,2,forb,biennial,cotton burdock
arctostaphylos uva-ursi ssp. coactilis; arctostaphylos uva-ursi coactilis,ericaceae,ARCUVA,native,10,2,shrub,perennial,bearberry
arctostaphylos uva-ursi ssp. coactilis; arctostaphylos uva-ursi coactilis,ericaceae,ARCUVAC,native,10,2,shrub,perennial,bearberry
arenaria serpyllifolia,caryophyllaceae,ARESER,non-native,0,0,forb,annual,thyme-leaf sandwort; thyme-leaved sandwort
arethusa bulbosa,orchidaceae,AREBUL,native,10,-2,forb,perennial,dragons-mouth; dragons mouth
argemone albiflora; argemone intermedia,papaveraceae,ARGALI,non-native,0,2,forb,annual,white prickly poppy; prickly poppy
argemone albiflora; argemone intermedia,papaveraceae,ARGINT,non-native,0,2,forb,annual,white prickly poppy; prickly poppy
argemone mexicana; argemone alba,papaveraceae,ARGALA,non-native,0,2,forb,annual,mexican poppy; white prickly poppy
argemone mexicana; argemone alba,papaveraceae,ARGMEX,non-native,0,2,forb,annual,mexican poppy; white prickly poppy
argentina anserina; potentilla anserina,rosaceae,ARGANS,native,6,-1,forb,perennial,common silverweed; silverweed
argentina anserina; potentilla anserina,rosaceae,POTANS,native,6,-1,forb,perennial,common silverweed; silverweed
arisaema dracontium,araceae,ARIDRA,native,7,-1,forb,perennial,greendragon; green dragon
arisaema triphyllum,araceae,ARITRI,native,4,-1,forb,perennial,jack-in-the-pulpit
aristida basiramea,poaceae,ARIBAS,non-native,0,2,grass,annual,fork-tipped three-awn; fork-tipped three-awn grass
aristida dichotoma,poaceae,ARIDIC,native,2,1,grass,annual,church-mouse three-awn; poverty grass
aristida intermedia,poaceae,ARIINT,native,5,2,grass,annual,false arrow-feather three-awn; false arrow feather
aristida longespica,poaceae,ARILON,native,5,1,grass,annual,red three-awn; plains three-awn grass
aristida longespica var. geniculata; aristida longespica,poaceae,ARILONG,native,5,1,grass,annual,red three-awn; plains three-awn grass
aristida longespica var. longespica; aristida longespica,poaceae,ARILONL,native,5,1,grass,annual,red three-awn; plains three-awn grass
aristida oligantha,poaceae,ARIOLI,native,0,2,grass,annual,plains three-awn; plains three-awn grass
aristida purpurascens,poaceae,ARIPUR,native,5,1,grass,perennial,arrow-feather three-awn; arrow feather
aristida tuberculosa,poaceae,ARITUB,native,9,2,grass,annual,beach three-awn; beach three-awn grass
armoracia rusticana,brassicaceae,ARMRUS,non-native,0,2,forb,perennial,horseradish; horse radish
arnoglossum atriplicifolium; cacalia atriplicifolia,asteraceae,ARNATR,native,8,2,forb,perennial,indian-plantain; pale indian plantain
arnoglossum atriplicifolium; cacalia atriplicifolia,asteraceae,CACATR,native,8,2,forb,perennial,indian-plantain; pale indian plantain
arnoglossum plantagineum; cacalia plantaginea,asteraceae,ARNPLA,native,10,0,forb,perennial,groove-stem indian-plantain; prairie indian plantain
arnoglossum plantagineum; cacalia plantaginea,asteraceae,CACPLA,native,10,0,forb,perennial,groove-stem indian-plantain; prairie indian plantain
arnoglossum reniforme; cacalia muhlenbergii,asteraceae,ARNREN,native,10,2,forb,perennial,great indian-plantain; great indian plantain
arnoglossum reniforme; cacalia muhlenbergii,asteraceae,CACMUH,native,10,2,forb,perennial,great indian-plantain; great indian plantain
aronia prunifolia,rosaceae,AROPRU,native,6,-1,shrub,perennial,purple chokeberry; chokeberry
arrhenatherum elatius,poaceae,ARRELA,non-native,0,1,grass,perennial,tall oat grass
artemisia abrotanum,asteraceae,ARTABR,non-native,0,2,shrub,perennial,southern wormwood; southernwood
artemisia absinthium ; artemisia absinthium,asteraceae,ARTABS,non-native,0,2,forb,perennial,common wormwood
artemisia annua,asteraceae,ARTANN,non-native,0,1,forb,annual,annual wormwood; sweet wormwood
artemisia biennis,asteraceae,ARTBIE,non-native,0,-1,forb,annual,biennial wormwood
artemisia carruthii,asteraceae,ARTCAR,non-native,0,2,forb,perennial,kansas mugwort
artemisia caudata ; artemisia caudata,asteraceae,ARTCAU,native,5,2,forb,biennial,beach wormwood
artemisia dracunculus,asteraceae,ARTDRA,non-native,0,2,forb,perennial,false tarragon
artemisia frigida,asteraceae,ARTFRI,non-native,0,2,shrub,perennial,prairie sagebrush
artemisia ludoviciana ; artemisia ludoviciana,asteraceae,ARTLUD,non-native,0,2,forb,perennial,white sage
artemisia ludoviciana var. gnaphalodes; artemisia ludoviciana,asteraceae,ARTLUDG,non-native,0,2,forb,perennial,white sage
artemisia ludoviciana var. ludoviciana; artemisia ludoviciana,asteraceae,ARTLUDL,non-native,0,2,forb,perennial,white sage
artemisia serrata,asteraceae,ARTSER,native,10,2,forb,perennial,serrate-leaf sage; saw-toothed sagebrush
artemisia vulgaris,asteraceae,ARTVUL,non-native,0,2,forb,perennial,common mugwort; mugwort
artemisia vulgaris var. glabra; ,asteraceae,ARTVULG,non-native,0,2,forb,perennial,common mugwort; 
artemisia vulgaris var. latiloba ; ,asteraceae,ARTVULL,non-native,0,2,forb,perennial,common mugwort; 
artemisia vulgaris var. vulgaris; artemisia vulgaris,asteraceae,ARTVULV,non-native,0,2,forb,perennial,common mugwort; mugwort
aruncus dioicus var. pubescens; aruncus dioicus pubescens,rosaceae,ARUDIO,native,10,1,forb,perennial,goats beard
aruncus dioicus var. pubescens; aruncus dioicus pubescens,rosaceae,ARUDIOP,native,10,1,forb,perennial,goats beard
asarum canadense,aristolochiaceae,ASACAN,native,7,1,forb,perennial,canadian wild ginger; wild ginger
asclepias amplexicaulis,asclepiadaceae,ASCAMP,native,7,2,forb,perennial,sand milkweed
asclepias exaltata,asclepiadaceae,ASCEXA,native,9,2,forb,perennial,poke milkweed
asclepias incarnata,asclepiadaceae,ASCINC,native,4,-2,forb,perennial,swamp milkweed
asclepias lanuginosa,asclepiadaceae,ASCLAN,native,10,2,forb,perennial,woolly milkweed
asclepias longifolia   ; asclepias hirtella,asclepiadaceae,ASCHIR,native,10,2,forb,perennial,long-leaf milkweed  ; tall green milkweed
asclepias longifolia   ; asclepias hirtella,asclepiadaceae,ASCLON,native,10,2,forb,perennial,long-leaf milkweed  ; tall green milkweed
asclepias meadii,asclepiadaceae,ASCMEA,native,10,2,forb,perennial,meads milkweed; meads milkweed
asclepias ovalifolia,asclepiadaceae,ASCOVA,native,10,2,forb,perennial,oval milkweed
asclepias perennis,asclepiadaceae,ASCPER,native,10,2,forb,perennial,white swamp milkweed; white milkweed
asclepias purpurascens,asclepiadaceae,ASCPUR,native,8,1,forb,perennial,purple milkweed
asclepias speciosa,asclepiadaceae,ASCSPE,non-native,0,0,forb,perennial,showy milkweed
asclepias sullivantii,asclepiadaceae,ASCSUL,native,8,2,forb,perennial,prairie milkweed
asclepias syriaca,asclepiadaceae,ASCSYR,native,0,1,forb,perennial,common milkweed
asclepias tuberosa ssp. interior; asclepias tuberosa,asclepiadaceae,ASCTUB,native,7,2,forb,perennial,butterfly-weed; butterfly weed
asclepias verticillata,asclepiadaceae,ASCVER,native,1,1,forb,perennial,whorled milkweed
asclepias viridiflora; asclepias viridiflora,asclepiadaceae,ASCVIR,native,10,2,forb,perennial,green milkweed; short green milkweed
asimina triloba,annonaceae,ASITRI,native,9,0,tree,perennial,common pawpaw; papaw
asparagus officinalis,liliaceae,ASPOFF,non-native,0,1,forb,perennial,asparagus
